0	1376440.0	1377290.0	1369050.0	1370800.0
10	1309560.0	1122920.0	992456	776563
20	1159820.0	1027180.0	811279	818589
30	1064350.0	825472	774288	759218
40	993022	833472	696916	574191
50	932929	726803	611315	543879
60	839873	743740	547567	515523
70	791804	646356	545462	482233
80	745993	622367	536776	419082
90	718629	618952	453089	453451
100	703465	603929	500166	429719
