#ref_x	zipf_theta	total_count	bench	read_ratio	thread_count	Cicada	Silo	TicToc	Hekaton	2PL	SiloOrig	ERMIA	FOEDUS	MOCC
1	0	20.000M	YCSB	0.95	28	4338181	2537905	2541371	2245698	1982295	1926380	1195130	2234395	2249165
2	0.4	20.000M	YCSB	0.95	28	4365896	2546830	2544026	2260749	2002538	1887160	1203260	2190784	2156219
3	0.6	20.000M	YCSB	0.95	28	4441948	2623975	2592870	2291838	2073813	2002190	1252980	2235035	2252731
4	0.8	20.000M	YCSB	0.95	28	4660042	3042867	2930740	2436908	2177105	2218900	1327740	2415212	2278850
5	0.9	20.000M	YCSB	0.95	28	4698526	3520610	3332959	564974	855583	2363660	1393690	2395339	1869567
6	0.95	20.000M	YCSB	0.95	28	4605324	3778538	3512778	285751	693402	2360250	1452520	2403513	1190076
7	0.99	20.000M	YCSB	0.95	28	4333266	3721437	3542419	226362	573718	2291900	1483280	2290359	896332
