#ref_x	zipf_theta	total_count	bench	read_ratio	thread_count	Cicada	Silo	TicToc	Hekaton	2PL	SiloOrig	ERMIA	FOEDUS	MOCC
1	0	10.000M	YCSB	0.5	28	2992234	2361752	2296107	1583030	1841802	1304810	898049	1753286	1750546
2	0.4	10.000M	YCSB	0.5	28	3004057	2364919	2309901	1606528	1842187	1319460	902531	1718333	1776747
3	0.6	10.000M	YCSB	0.5	28	3052333	2433290	2378313	1643497	1876203	1372560	923783	1753385	1781662
4	0.8	10.000M	YCSB	0.5	28	2863830	2526735	2323592	168813	1171143	1172420	888860	1495380	835017
5	0.9	10.000M	YCSB	0.5	28	1701339	1515454	1456383	37401	432496	370771	792833	195605	268794
6	0.95	10.000M	YCSB	0.5	28	1056266	904397	992482	335750	282333	212948	585377	215004	172074
7	0.99	10.000M	YCSB	0.5	28	763418	640410	734056	254367	216609	132343	502692	76054	127286
