#ref_x	zipf_theta	total_count	bench	read_ratio	thread_count	Cicada	Silo	TicToc	Hekaton	2PL	SiloOrig	ERMIA	FOEDUS	MOCC
1	0	10.000M	YCSB	0.95	28	4222025	2432546	2455072	2139036	1949730	1817310	1166720	2316471	2266571
2	0.4	10.000M	YCSB	0.95	28	4235509	2456950	2454964	2083489	1972644	1822630	1238540	2304725	2303740
3	0.6	10.000M	YCSB	0.95	28	4363439	2573728	2534328	2177707	1998381	1887940	1199270	2294238	2247118
4	0.8	10.000M	YCSB	0.95	28	4541486	3032695	2872765	2402225	2078599	2053390	1278740	2429264	2335214
5	0.9	10.000M	YCSB	0.95	28	4443237	3446107	3231929	402467	694490	2141810	1341840	2482678	1666693
6	0.95	10.000M	YCSB	0.95	28	4256838	3663996	3354329	190770	567828	2066660	1370130	2294851	1096613
7	0.99	10.000M	YCSB	0.95	28	3941791	3515465	3370793	132149	500157	2000070	1379950	2000738	760122
