#ref_x	zipf_theta	total_count	bench	read_ratio	thread_count	Cicada	Silo	TicToc	Hekaton	2PL	SiloOrig	ERMIA	FOEDUS	MOCC
1	0	20.000M	YCSB	0.5	28	3124726	2436903	2406817	1708242	1889206	1411700	944321	1845170	1801768
2	0.4	20.000M	YCSB	0.5	28	3137189	2465008	2415335	1717060	1907969	1417830	957181	1805458	1774133
3	0.6	20.000M	YCSB	0.5	28	3177693	2512122	2470371	1742231	1917348	1444750	964107	1809581	1777606
4	0.8	20.000M	YCSB	0.5	28	3102252	2661681	2497851	1111434	1439266	1406170	975253	1646469	1031292
5	0.9	20.000M	YCSB	0.5	28	2133924	1805535	1686470	231652	469259	469715	828697	246795	322719
6	0.95	20.000M	YCSB	0.5	28	1315080	1033480	1166615	357255	299842	274599	681271	223586	214897
7	0.99	20.000M	YCSB	0.5	28	940705	692799	842366	266675	229153	154840	535780	80042	150213
