#ref_x	zipf_theta	total_count	bench	read_ratio	thread_count	Cicada	Silo	TicToc	Hekaton	2PL	SiloOrig	ERMIA	FOEDUS	MOCC
1	0	40.000M	YCSB	0.95	28	4197542	2506805	2507363	2256231	1958227	1762710	1104920	2098592	2104126
2	0.4	40.000M	YCSB	0.95	28	3933023	2506538	2519310	2274658	1960109	1709840	1106590	2089876	2131824
3	0.6	40.000M	YCSB	0.95	28	4254890	2554743	2550293	2220502	1976924	1764860	1126670	2108008	2136199
4	0.8	40.000M	YCSB	0.95	28	4465068	2918572	2816396	2420022	2136132	2263280	1204060	2116204	2129898
5	0.9	40.000M	YCSB	0.95	28	4579057	3364862	3195468	1270330	892587	2452160	1309110	2405445	1853322
6	0.95	40.000M	YCSB	0.95	28	4525448	3643472	3404268	282809	732785	2269430	1325210	2398000	1254136
7	0.99	40.000M	YCSB	0.95	28	4284810	3710982	3459820	243401	588671	2834690	1362660	2280669	887437
