#thread_count	warehouse_count	bench	Cicada	Silo	TicToc	Hekaton	2PL	SiloOrig	ERMIA	FOEDUS	MOCC
1	1	TPCC-FULL	71259	69733	66960	57557	50063	50627.9	41530.1	NaN	NaN
2	1	TPCC-FULL	98968	77988	77746	68347	54394	71353.5	71977.2	NaN	NaN
4	1	TPCC-FULL	155697	76648	71757	81125	62287	90761.5	115537	69215.70784	68873.60563
8	1	TPCC-FULL	213730	69282	60893	84684	71658	438.42	142229	70015.64984	67505.72494
12	1	TPCC-FULL	233935	63108	53138	84857	76941	117.793	158145	71008.78991	66563.63436
16	1	TPCC-FULL	241785	58239	48446	84516	80683	154.837	133162	70351.29649	66948.53051
20	1	TPCC-FULL	243925	53245	46103	84085	83514	83.489	101262	69621.95378	65839.6416
24	1	TPCC-FULL	242845	47307	44135	83825	85804	112.026	85286	69197.45803	65086.79913
28	1	TPCC-FULL	239417	41374	42056	83455	87205	120.387	76142.6	70381.49619	63155.33422
