#threads	#warehouse	remote	tps_partitioned_store	tps_Silo
32	160	0	1866910.000	1299690.000
32	160	1	1806370.000	1321220.000
32	160	2	1742190.000	1322610.000
32	160	3	1687900.000	1316620.000
32	160	4	1611130.000	1316950.000
32	160	5	1522660.000	1316980.000
32	160	6	1475200.000	1311500.000
32	160	7	1385340.000	1304890.000
32	160	8	1351230.000	1298910.000
32	160	9	1252810.000	1293090.000
32	160	10	1212840.000	1276390.000
