#threads	#warehouse	remote	tps_partitioned_store	tps_Silo
32	144	0	1922690.000	1379710.000
32	144	1	1819320.000	1371130.000
32	144	2	1769790.000	1360360.000
32	144	3	1708940.000	1335780.000
32	144	4	1617200.000	1344890.000
32	144	5	1512970.000	1291820.000
32	144	6	1475870.000	1331640.000
32	144	7	1363190.000	1324170.000
32	144	8	1323710.000	1319150.000
32	144	9	1218380.000	1290840.000
32	144	10	1185500.000	1307360.000
