#threads	#warehouse	remote	tps_partitioned_store	tps_Silo
32	96	0	1973680.000	1423460.000
32	96	1	1873230.000	1411170.000
32	96	2	1724340.000	1396720.000
32	96	3	1655040.000	1390820.000
32	96	4	1534390.000	1372960.000
32	96	5	1428020.000	1373820.000
32	96	6	1329900.000	1365430.000
32	96	7	1197720.000	1326250.000
32	96	8	1125130.000	1326990.000
32	96	9	1030330.000	1348590.000
32	96	10	972525.000	1342400.000
