0	207766	120222	102965	41269
10	91900	66639	56770	19947
20	76855	56145	49189	17286
30	68885	46867	44737	15402
40	56606	43504	38317	15159
50	52017	36823	33926	13681
60	45746	32949	31275	15150
70	40824	29061	27046	12895
80	34959	27398	24691	13788
90	34262	25014	24150	13332
100	34710	23305	22056	13735
