#clients	2PL	Tapir	OCC	Janus
1	2.34748	3.716716	1.890962	2.543033
10	23.20212	34.00244	17.65952	25.66832
100	177.0652	249.527	129.7607	224.6042
200	224.5517	329.4285	152.4386	448.2446
400	236.5353	340.3052	114.9944	900.7115
800	275.6645	150.3237	70.81391	1799.196
1400	286.7808	51.30159	39.28512	3140.607
1600	273.1827	43.26179	31.15187	3583.447
2400	248.9873	54.81329	39.2512	5261.406
2800	207.1171	56.40318	34.12196	6075.181
3200	221.235	22.08283	26.33201	6866.314
4800	195.2193	28.80047	25.15497	9958.938
6400	130.5557	30.38246	15.59278	12714.18
8000	110.6352	39.30555	24.87572	15481.05
9600	94.03602	37.49084	15.07742	17625.33
11200	91.17438	36.77492	16.24452	18859.08
12800	123.1198	35.90036	24.86944	19683.77
14400	186.6587	35.74386	27.21003	20265.74
16000	162.211	30.8877	35.4575	20709.84
17600	187.1946	29.51559	39.27402	20944.92
19200	158.0902	24.83642	32.99066	20661.61
