#clients	2PL	Tapir	OCC	Janus
1	235.452	278.309	229.654	299.903
10	1280.302	2189.072	1346.190	2629.465
100	966.240	883.549	854.573	711.003
200	1799.892	1593.557	1518.840	1492.043
400	3108.804	2479.234	2287.298	2903.005
800	3966.036	2410.084	1579.511	5789.608
1400	3307.956	1254.931	1105.135	10159.320
1600	3153.878	1016.170	962.881	11713.260
2400	2288.968	495.312	732.897	14747.290
2800	2075.345	387.098	628.393	16452.410
3200	1775.774	327.390	570.190	17863.450
