#clients	2PL	Tapir	OCC	Janus
1	232.074	283.636	229.574	295.297
10	1201.252	2144.602	1240.297	2639.961
100	897.972	831.265	651.602	790.053
200	1490.435	1336.243	988.303	1571.912
400	1908.297	1399.416	831.646	3100.051
800	1842.892	694.446	520.901	6206.430
1400	1197.852	241.842	350.674	10819.900
1600	1110.336	189.648	305.983	12327.710
2400	836.418	141.988	229.337	15543.500
2800	754.343	128.672	187.052	17103.510
3200	666.797	119.992	170.851	18826.630
