#clients	2PL	Tapir	OCC	Janus
1	213.0784	265.8887	202.4711	276.055
10	1088.758	1939.501	1039.812	2453.023
100	763.2112	718.8023	588.9191	698.415
200	1246.545	1189.247	865.163	1413.689
400	1592.21	1237.298	700.0655	2825.947
800	1449.387	610.3034	438.2617	5642.774
1400	922.4591	176.0709	277.0048	9762.523
1600	837.0981	124.1366	238.5574	11287.72
2400	577.1489	52.36545	178.603	14035.25
2800	472.8712	31.77608	153.5375	15464.84
3200	435.7847	28.29357	138.9206	16891.26
