# clients	2PL	Tapir	OCC	Janus
1	238.423	286.100	217.536	308.999
10	1325.631	2202.758	1349.919	2650.333
100	932.608	913.561	856.794	730.388
200	1825.974	1607.125	1529.909	1411.913
400	3133.373	2528.635	2228.403	2935.588
800	3850.793	2333.275	1613.287	5752.432
1400	3347.703	1279.777	1042.129	10310.820
1600	2960.523	1041.249	938.252	11713.740
2400	2220.044	494.514	725.434	14866.370
2800	1916.808	414.817	683.679	16211.850
3200	1703.959	333.282	559.771	17725.120
