#clients	2PL	Tapir	OCC	Janus
1	236.325	293.345	236.140	303.648
10	1199.055	2090.140	1227.299	2625.298
100	864.510	858.295	677.135	760.199
200	1475.529	1334.589	998.651	1579.439
400	1892.087	1396.202	840.509	3135.841
800	1750.695	706.217	512.147	6152.159
1400	1205.719	239.531	336.786	10812.530
1600	1020.102	188.063	279.875	12265.740
2400	803.760	138.290	225.571	15481.310
2800	711.273	130.343	191.174	17008.030
3200	624.710	121.080	179.472	18627.280
