# #Warehouse	%Distributed	Aria	AriaFB-1	AriaFB-2	AriaFB-4	AriaFB-6	Bohm	Calvin-1	Calvin-2	Calvin-4	Calvin-6	Pwv
1	0	10325	161857	162481	143869	160172	65120	150643	149915	139353	158011	173990
2	0	19524	198665	249801	231783	249052	124664	176164	255443	245286	270616	266773
4	0	36924	238785	288983	325350	306886	191295	194957	285923	392410	377269	378284
6	0	53456	260211	304103	302592	339980	209151	199991	295458	351571	442874	419093
8	0	68204	272873	315984	334407	340164	234838	201144	298347	413795	425516	462920
10	0	82851	285485	321328	321084	332398	254423	202827	304528	381872	431971	492663
12	0	97585	295009	329330	340675	344657	268247	200105	305291	417088	445933	514402
36	0	211420	352269	377693	377988	370150	256811	190459	298849	423870	442382	486244
60	0	271827	380516	392935	392769	395355	252981	183651	292382	419888	437740	484103
84	0	310864	399054	414555	415251	399288	250449	177487	287449	417735	440125	480822
108	0	337419	403667	425571	416211	417690	249356	175260	285920	417746	437064	474690
132	0	368370	412160	427541	423110	424206	247882	173727	282924	415248	435956	471869
156	0	378261	428701	431230	439780	431884	245896	174142	282547	414756	435366	470328
180	0	390543	436299	446240	434058	439643	247981	171027	280603	413304	434299	468483
